place,time_seconds
1,875.5
2,881.21
3,885.21
4,892
5,893.4
6,895.81
7,895.94
8,896.22
9,896.33
10,896.53
11,897.46
12,898
13,898.1
14,898.89
15,899.33
16,902
17,902.1
18,904.73
19,904.83
20,906.25
21,906.73
22,907
23,908.63
24,909
24,909
24,909
27,909.64
28,910
29,912
30,912.67
31,913.66
32,913.83
33,916
34,916.78
35,917.75
36,917.76
37,918
37,918
39,918.05
40,918.86
41,919.55
42,919.86
43,920.3
44,920.31
45,921.33
46,922
47,922.81
48,924.33
49,924.9
50,925.52
51,926
51,926
53,926.4
54,926.85
55,927
56,927.28
57,927.38
58,927.92
59,928.07
60,928.83
61,929
62,929.03
63,929.36
64,930
64,930
64,930
67,930.16
68,930.33
69,930.4
70,931
71,931.36
72,931.56
73,932
74,932.06
74,932.06
76,933
77,933.13
78,933.35
79,933.43
80,933.99
81,934
81,934
83,934.06
84,934.76
85,935
85,935
87,935.53
88,936
89,937
90,937.56
91,937.65
92,937.67
93,937.98
94,938
94,938
94,938
97,939
97,939
99,939.06
100,939.17
101,939.2
102,940
103,941
104,941.16
105,941.57
106,942
106,942
108,942.06
109,942.46
110,942.83
111,943
112,943.1
113,943.33
114,944.06
115,944.51
116,944.7
117,944.73
118,945
119,946
119,946
119,946
119,946
123,946.16
124,946.64
125,946.81
126,947
127,947.4
128,947.94
129,948
129,948
129,948
132,948.15
133,948.16
134,948.23
135,948.24
136,948.5
137,948.7
138,949
138,949
140,949.11
141,949.23
142,949.46
143,949.53
144,949.56
145,949.6
146,950
147,950.01
148,950.13
149,950.3
150,950.5
151,951
151,951
153,951.08
154,951.11
155,951.3
156,951.31
157,951.36
158,951.68
159,952
159,952
159,952
159,952
163,952.25
164,952.31
165,952.35
166,952.43
167,952.46
168,952.48
169,952.66
170,952.71
171,952.8
172,953
172,953
172,953
175,953.25
176,953.33
177,953.93
178,954
178,954
178,954
178,954
178,954
183,954.3
184,954.33
185,954.76
186,954.85
187,954.98
187,954.98
189,955
189,955
191,955.03
192,955.23
193,955.46
194,955.48
195,955.5
196,955.52
197,955.75
198,955.81
199,955.83
200,955.85
201,955.98
201,955.98
203,956
203,956
203,956
203,956
203,956
208,956.08
209,956.26
210,956.81
211,956.95
212,957
212,957
212,957
212,957
212,957
212,957
212,957
212,957
212,957
221,957.03
222,957.22
223,957.26
224,957.56
225,957.63
226,957.68
227,957.73
228,957.76
229,957.89
230,958
230,958
230,958
230,958
230,958
230,958
230,958
230,958
238,958.1
239,958.18
240,958.39
241,958.65
241,958.65
243,958.7
244,958.73
245,958.9
246,959
246,959
246,959
249,959.03
250,959.13
251,959.38
252,959.43
253,959.5
254,959.6
255,959.62
256,959.91
257,960
257,960
257,960
257,960
257,960
262,961
262,961
262,961
262,961
266,962
266,962
266,962
266,962
270,963
270,963
272,964
272,964
272,964
272,964
272,964
272,964
272,964
272,964
280,965
280,965
280,965
283,966
283,966
283,966
283,966
283,966
283,966
289,967
289,967
289,967
289,967
289,967
289,967
295,969
295,969
297,970
297,970
297,970
297,970
297,970
297,970
303,971
303,971
303,971
306,972
306,972
306,972
306,972
306,972
306,972
306,972
306,972
306,972
306,972
306,972
306,972
318,973
318,973
318,973
318,973
318,973
318,973
318,973
318,973
318,973
327,974
327,974
327,974
330,975
330,975
330,975
330,975
330,975
330,975
330,975
330,975
338,976
338,976
338,976
338,976
338,976
338,976
338,976
338,976
346,977
346,977
346,977
346,977
350,978
350,978
350,978
350,978
350,978
350,978
356,979
356,979
356,979
356,979
360,980
360,980
360,980
360,980
364,981
364,981
364,981
364,981
368,982
368,982
368,982
368,982
368,982
368,982
368,982
368,982
376,983
376,983
376,983
376,983
376,983
376,983
376,983
383,984
383,984
383,984
383,984
383,984
383,984
383,984
390,985
390,985
390,985
390,985
390,985
390,985
396,986
396,986
396,986
396,986
396,986
396,986
396,986
396,986
396,986
405,987
405,987
405,987
405,987
405,987
410,988
410,988
410,988
410,988
410,988
410,988
410,988
417,989
417,989
417,989
417,989
417,989
417,989
417,989
424,990
424,990
424,990
424,990
424,990
424,990
424,990
431,991
431,991
431,991
431,991
435,992
435,992
435,992
435,992
435,992
440,993
440,993
440,993
440,993
440,993
440,993
446,994
446,994
446,994
446,994
446,994
446,994
452,995
452,995
454,996
454,996
454,996
454,996
454,996
454,996
454,996
454,996
454,996
463,997
463,997
463,997
463,997
463,997
463,997
463,997
463,997
471,998
471,998
471,998
471,998
471,998
471,998
471,998
471,998
471,998
471,998
471,998
482,999
482,999
482,999
482,999
482,999
482,999
488,1000
488,1000
488,1000
488,1000
488,1000
488,1000
488,1000
488,1000
496,1001
496,1001
496,1001
496,1001
496,1001
496,1001
496,1001
496,1001
504,1002
504,1002
504,1002
504,1002
504,1002
504,1002
510,1003
510,1003
510,1003
510,1003
510,1003
510,1003
510,1003
517,1004
517,1004
517,1004
517,1004
517,1004
517,1004
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
523,1005
538,1006
538,1006
538,1006
538,1006
538,1006
538,1006
538,1006
538,1006
538,1006
538,1006
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
548,1007
563,1008
563,1008
563,1008
563,1008
563,1008
563,1008
563,1008
563,1008
563,1008
563,1008
563,1008
574,1009
574,1009
574,1009
574,1009
574,1009
574,1009
580,1010
580,1010
580,1010
580,1010
580,1010
580,1010
580,1010
580,1010
580,1010
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
589,1011
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
603,1012
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
618,1013
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
639,1014
653,1015
653,1015
653,1015
653,1015
653,1015
653,1015
653,1015
653,1015
653,1015
653,1015
653,1015
664,1016
664,1016
664,1016
664,1016
664,1016
664,1016
664,1016
664,1016
664,1016
664,1016
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
674,1017
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
687,1018
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
700,1019
719,1020
719,1020
719,1020
719,1020
719,1020
724,1021
724,1021
724,1021
724,1021
724,1021
724,1021
724,1021
731,1022
731,1022
731,1022
731,1022
731,1022
736,1023
736,1023
736,1023
736,1023
736,1023
736,1023
736,1023
736,1023
744,1024
744,1024
744,1024
744,1024
744,1024
749,1025
749,1025
749,1025
749,1025
749,1025
749,1025
755,1026
755,1026
755,1026
755,1026
755,1026
755,1026
755,1026
762,1027
762,1027
762,1027
762,1027
762,1027
767,1028
767,1028
767,1028
767,1028
767,1028
767,1028
767,1028
767,1028
767,1028
767,1028
777,1029
777,1029
777,1029
777,1029
777,1029
777,1029
777,1029
784,1030
784,1030
784,1030
784,1030
784,1030
784,1030
784,1030
784,1030
792,1031
792,1031
792,1031
792,1031
796,1032
796,1032
796,1032
796,1032
800,1033
800,1033
800,1033
800,1033
804,1034
804,1034
804,1034
804,1034
804,1034
804,1034
804,1034
804,1034
804,1034
804,1034
814,1035
814,1035
814,1035
814,1035
814,1035
814,1035
814,1035
814,1035
814,1035
814,1035
814,1035
825,1036
825,1036
825,1036
825,1036
